logf(-1) = nan
  errno: 33
  FE_INVALID: YES
  FE_DIVBYZERO: NO

logf(0) = -inf
  errno: 34
  FE_INVALID: NO
  FE_DIVBYZERO: YES

logf(inf) = inf
  errno: 0
  FE_INVALID: NO
  FE_DIVBYZERO: NO

logf(nan) = nan
  errno: 0
  FE_INVALID: NO
  FE_DIVBYZERO: NO

logf(1) = 0
  errno: 0
  FE_INVALID: NO
  FE_DIVBYZERO: NO

Interval [17592186044416.000000000, 35184372088832.000000000] | Max ULP Error: 0.569710612
Interval [35184372088832.000000000, 70368744177664.000000000] | Max ULP Error: 0.816012859
Interval [70368744177664.000000000, 140737488355328.000000000] | Max ULP Error: 0.952995896
Interval [140737488355328.000000000, 281474976710656.000000000] | Max ULP Error: 0.911452889
Interval [281474976710656.000000000, 562949953421312.000000000] | Max ULP Error: 0.536952198
Interval [562949953421312.000000000, 1125899906842624.000000000] | Max ULP Error: 0.861792743
Interval [1125899906842624.000000000, 2251799813685248.000000000] | Max ULP Error: 0.789791524
Interval [2251799813685248.000000000, 4503599627370496.000000000] | Max ULP Error: 0.612735927
Interval [4503599627370496.000000000, 9007199254740992.000000000] | Max ULP Error: 1.038949370
Interval [9007199254740992.000000000, 18014398509481984.000000000] | Max ULP Error: 0.664448678
Interval [18014398509481984.000000000, 36028797018963968.000000000] | Max ULP Error: 0.734296262
Interval [36028797018963968.000000000, 72057594037927936.000000000] | Max ULP Error: 0.917287946
Interval [72057594037927936.000000000, 144115188075855872.000000000] | Max ULP Error: 0.542787254
Interval [144115188075855872.000000000, 288230376151711744.000000000] | Max ULP Error: 0.859740198
Interval [288230376151711744.000000000, 576460752303423488.000000000] | Max ULP Error: 0.791945100
Interval [576460752303423488.000000000, 1152921504606846976.000000000] | Max ULP Error: 0.606799781
Interval [1152921504606846976.000000000, 2305843009213693952.000000000] | Max ULP Error: 0.981300533
Interval [2305843009213693952.000000000, 4611686018427387904.000000000] | Max ULP Error: 0.670283735
Interval [4611686018427387904.000000000, 9223372036854775808.000000000] | Max ULP Error: 0.732243717
Interval [9223372036854775808.000000000, 18446744073709551616.000000000] | Max ULP Error: 0.919441581
Interval [18446744073709551616.000000000, 36893488147419103232.000000000] | Max ULP Error: 0.544940889
Interval [36893488147419103232.000000000, 73786976294838206464.000000000] | Max ULP Error: 0.853804052
Interval [73786976294838206464.000000000, 147573952589676412928.000000000] | Max ULP Error: 0.797780216
Interval [147573952589676412928.000000000, 295147905179352825856.000000000] | Max ULP Error: 0.604747236
Interval [295147905179352825856.000000000, 590295810358705651712.000000000] | Max ULP Error: 1.046938062
Interval [590295810358705651712.000000000, 1180591620717411303424.000000000] | Max ULP Error: 0.672437370
Interval [1180591620717411303424.000000000, 2361183241434822606848.000000000] | Max ULP Error: 0.726307571
Interval [2361183241434822606848.000000000, 4722366482869645213696.000000000] | Max ULP Error: 0.925276697
Interval [4722366482869645213696.000000000, 9444732965739290427392.000000000] | Max ULP Error: 0.550775945
Interval [9444732965739290427392.000000000, 18889465931478580854784.000000000] | Max ULP Error: 0.851751447
Interval [18889465931478580854784.000000000, 37778931862957161709568.000000000] | Max ULP Error: 0.799933851
Interval [37778931862957161709568.000000000, 75557863725914323419136.000000000] | Max ULP Error: 0.598811090
Interval [75557863725914323419136.000000000, 151115727451828646838272.000000000] | Max ULP Error: 0.973311782
Interval [151115727451828646838272.000000000, 302231454903657293676544.000000000] | Max ULP Error: 0.678272426
Interval [302231454903657293676544.000000000, 604462909807314587353088.000000000] | Max ULP Error: 0.724255025
Interval [604462909807314587353088.000000000, 1208925819614629174706176.000000000] | Max ULP Error: 0.927430272
Interval [1208925819614629174706176.000000000, 2417851639229258349412352.000000000] | Max ULP Error: 0.552929580
Interval [2417851639229258349412352.000000000, 4835703278458516698824704.000000000] | Max ULP Error: 0.845815361
Interval [4835703278458516698824704.000000000, 9671406556917033397649408.000000000] | Max ULP Error: 0.805768907
Interval [9671406556917033397649408.000000000, 19342813113834066795298816.000000000] | Max ULP Error: 0.596758544
Interval [19342813113834066795298816.000000000, 38685626227668133590597632.000000000] | Max ULP Error: 1.054926753
Interval [38685626227668133590597632.000000000, 77371252455336267181195264.000000000] | Max ULP Error: 0.680426061
Interval [77371252455336267181195264.000000000, 154742504910672534362390528.000000000] | Max ULP Error: 0.718318880
Interval [154742504910672534362390528.000000000, 309485009821345068724781056.000000000] | Max ULP Error: 0.933265388
Interval [309485009821345068724781056.000000000, 618970019642690137449562112.000000000] | Max ULP Error: 0.558764637
Interval [618970019642690137449562112.000000000, 1237940039285380274899124224.000000000] | Max ULP Error: 0.843762755
Interval [1237940039285380274899124224.000000000, 2475880078570760549798248448.000000000] | Max ULP Error: 0.807922542
Interval [2475880078570760549798248448.000000000, 4951760157141521099596496896.000000000] | Max ULP Error: 0.590822399
Interval [4951760157141521099596496896.000000000, 9903520314283042199192993792.000000000] | Max ULP Error: 0.956092238
Interval [9903520314283042199192993792.000000000, 19807040628566084398385987584.000000000] | Max ULP Error: 0.919218063
