x,logf,std::log,ulp_error
1.71622e-38,-86.9581,-86.9581,0.169617
1.7221e-38,-86.9547,-86.9547,0.0602172
1.72798e-38,-86.9513,-86.9513,0.522403
1.73385e-38,-86.9479,-86.9479,0.588612
1.73973e-38,-86.9445,-86.9445,0.148674
1.74561e-38,-86.9411,-86.9411,0.212747
1.75149e-38,-86.9378,-86.9378,0.79089
1.75736e-38,-86.9344,-86.9344,0.106943
1.76324e-38,-86.9311,-86.9311,0.529105
1.76912e-38,-86.9278,-86.9278,0.708793
1.775e-38,-86.9244,-86.9244,0.441781
1.78087e-38,-86.9211,-86.9211,0.737633
1.78675e-38,-86.9178,-86.9178,0.605821
1.79263e-38,-86.9146,-86.9146,1.05572
1.79851e-38,-86.9113,-86.9113,0.0966194
1.80438e-38,-86.908,-86.908,0.252112
1.81026e-38,-86.9048,-86.9048,0.0119055
1.81614e-38,-86.9015,-86.9015,0.866905
1.82202e-38,-86.8983,-86.8983,0.35273
1.82789e-38,-86.8951,-86.8951,0.494799
1.83377e-38,-86.8919,-86.8919,0.261612
1.83965e-38,-86.8887,-86.8887,0.29803
1.84553e-38,-86.8855,-86.8855,0.784463
1.8514e-38,-86.8823,-86.8823,0.557472
1.85728e-38,-86.8791,-86.8791,0.0103225
1.86316e-38,-86.876,-86.876,0.129048
1.86904e-38,-86.8728,-86.8728,0.0556444
1.87491e-38,-86.8697,-86.8697,0.483163
1.88079e-38,-86.8665,-86.8665,0.724101
1.88667e-38,-86.8634,-86.8634,0.685036
1.89255e-38,-86.8603,-86.8603,0.37393
1.89842e-38,-86.8572,-86.8572,0.201329
1.9043e-38,-86.8541,-86.8541,0.0329249
1.91018e-38,-86.851,-86.851,0.886886
1.91606e-38,-86.848,-86.848,0.565774
1.92193e-38,-86.8449,-86.8449,1.01134
1.92781e-38,-86.8419,-86.8418,0.231122
1.93369e-38,-86.8388,-86.8388,1.23258
1.93957e-38,-86.8358,-86.8358,1.0231
1.94544e-38,-86.8327,-86.8327,0.389981
1.95132e-38,-86.8297,-86.8297,1.01001
1.9572e-38,-86.8267,-86.8267,0.202031
1.96308e-38,-86.8237,-86.8237,0.230807
1.96895e-38,-86.8207,-86.8207,0.0659233
1.97483e-38,-86.8178,-86.8178,0.751754
1.98071e-38,-86.8148,-86.8148,1.25798
1.98659e-38,-86.8118,-86.8118,0.628638
1.99246e-38,-86.8089,-86.8089,0.8335
1.99834e-38,-86.8059,-86.8059,0.916255
2.00422e-38,-86.803,-86.803,0.846785
2.0101e-38,-86.8,-86.8001,0.33156
2.01597e-38,-86.7971,-86.7971,0.351198
2.02185e-38,-86.7942,-86.7942,0.938083
2.02773e-38,-86.7913,-86.7913,0.408228
2.03361e-38,-86.7884,-86.7884,0.222843
2.03948e-38,-86.7855,-86.7855,1.05123
2.04536e-38,-86.7827,-86.7827,0.236735
2.05124e-38,-86.7798,-86.7798,0.339932
2.05712e-38,-86.7769,-86.7769,0.367012
2.06299e-38,-86.7741,-86.7741,0.324113
2.06887e-38,-86.7712,-86.7712,0.217325
2.07475e-38,-86.7684,-86.7684,0.0526834
2.08062e-38,-86.7656,-86.7656,0.163827
2.0865e-38,-86.7627,-86.7627,0.573729
2.09238e-38,-86.7599,-86.7599,0.271235
2.09826e-38,-86.7571,-86.7571,0.0567207
2.10413e-38,-86.7543,-86.7543,0.569388
2.11001e-38,-86.7515,-86.7515,1.19026
2.11589e-38,-86.7488,-86.7488,0.223275
2.12177e-38,-86.746,-86.746,0.36919
2.12764e-38,-86.7432,-86.7432,0.0614239
2.13352e-38,-86.7405,-86.7405,0.525012
2.1394e-38,-86.7377,-86.7377,0.0995185
2.14528e-38,-86.735,-86.735,0.701941
2.15115e-38,-86.7322,-86.7322,0.303398
2.15703e-38,-86.7295,-86.7295,0.94346
2.16291e-38,-86.7268,-86.7268,0.593345
2.16879e-38,-86.7241,-86.7241,0.292348
2.17466e-38,-86.7214,-86.7214,1.02023
2.18054e-38,-86.7187,-86.7187,0.790685
2.18642e-38,-86.716,-86.716,0.608863
2.1923e-38,-86.7133,-86.7133,0.479877
2.19817e-38,-86.7106,-86.7106,0.4088
2.20405e-38,-86.7079,-86.7079,0.400663
2.20993e-38,-86.7053,-86.7053,0.460457
2.21581e-38,-86.7026,-86.7026,0.593133
2.22168e-38,-86.7,-86.7,0.196396
2.22756e-38,-86.6973,-86.6973,1.09674
2.23344e-38,-86.6947,-86.6947,0.477379
2.23932e-38,-86.6921,-86.6921,0.0496846
2.24519e-38,-86.6894,-86.6894,0.471511
2.25107e-38,-86.6868,-86.6868,0.192078
2.25695e-38,-86.6842,-86.6842,0.0215516
2.26283e-38,-86.6816,-86.6816,0.140348
